Outcome category,Outcome detail,Cost / saving detail,Unit,Agency bearing the cost / making the fiscal saving 1,Agency bearing the cost / making the fiscal saving 2,Fiscal value,Economic value,Social value,Original source
EMPLOYMENT & ECONOMY,BENEFITS,"Income Support: (HISTORIC) Couple - one under 18, one over 18, 'higher rate', maximum payment",Per week,DWP,JCP,126.2663379,,,"Income Support (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,"Income Support: (HISTORIC) Couple - both 18 or over, maximum payment",Per week,DWP,JCP,126.2663379,,,"Income Support (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,Income Support Cost of maintaining claims,Per claim,DWP,JCP,223.5107177,,,"Transactions Explorer, GOV.UK (2014)  Note that the data file is no longer available; the link takes you to an archived government website where data may be available on this and related areas"
EMPLOYMENT & ECONOMY,BENEFITS,Personal Independence Payment Daily living component: higher rate,Per week,DWP,JCP,96.38173995,,,"Personal Independence Payment (PIP) (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,Personal Independence Payment Daily living component: lower rate,Per week,DWP,JCP,64.51526641,,,"Personal Independence Payment (PIP) (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,Personal Independence Payment Mobility component: higher rate,Per week,DWP,JCP,67.27946133,,,"Personal Independence Payment (PIP) (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,Personal Independence Payment Mobility component: standard rate,Per week,DWP,JCP,25.50360976,,,"Personal Independence Payment (PIP) (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,Disability Living Allowance for Children Care component: highest,Per week,DWP,JCP,96.38173995,,,"Disability Living Allowance (DLA) for Children (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,Disability Living Allowance for Children Care component: middle,Per week,DWP,JCP,64.51526641,,,"Disability Living Allowance (DLA) for Children (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,Disability Living Allowance for Children Care component: lowest,Per week,DWP,JCP,25.50360976,,,"Disability Living Allowance (DLA) for Children (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,Disability Living Allowance for Children Mobility component: higher,Per week,DWP,JCP,67.27946133,,,"Disability Living Allowance (DLA) for Children (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,Disability Living Allowance for Children Mobility component: lower,Per week,DWP,JCP,25.50360976,,,"Disability Living Allowance (DLA) for Children (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,Disability Living Allowance (HISTORIC) Care component: highest,Per week,DWP,JCP,96.38173995,,,"Disability Living Allowance (DLA) for Adults (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,Disability Living Allowance (HISTORIC) Care component: middle,Per week,DWP,JCP,64.51526641,,,"Disability Living Allowance (DLA) for Adults (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,Disability Living Allowance (HISTORIC) Care component: lowest,Per week,DWP,JCP,25.50360976,,,"Disability Living Allowance (DLA) for Adults (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,Disability Living Allowance (HISTORIC) Mobility component: higher,Per week,DWP,JCP,67.27946133,,,"Disability Living Allowance (DLA) for Adults (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,Disability Living Allowance (HISTORIC) Mobility component: lower,Per week,DWP,JCP,25.50360976,,,"Disability Living Allowance (DLA) for Adults (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,Disability Living Allowance (HISTORIC) Cost of maintaining claims,Per claim,DWP,JCP,25.11356378,,,"Transactions Explorer, GOV.UK (2014)  Note that the data file is no longer available; the link takes you to an archived government website where data may be available on this and related areas"
EMPLOYMENT & ECONOMY,BENEFITS,Disability Living Allowance Cost of processing each new claim for DLA,Per claim,DWP,JCP,180.8176592,,,"Transactions Explorer, GOV.UK (2014)  Note that the data file is no longer available; the link takes you to an archived government website where data may be available on this and related areas"
EMPLOYMENT & ECONOMY,BENEFITS,Attendance Allowance Higher rate,Per week,DWP,JCP,96.38173995,,,"Attendance Allowance (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,Attendance Allowance Lower rate,Per week,DWP,JCP,64.51526641,,,"Attendance Allowance (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,Attendance Allowance Cost of maintaining claims,Per claim,DWP,JCP,18.83517284,,,"Transactions Explorer, GOV.UK (2014)  Note that the data file is no longer available; the link takes you to an archived government website where data may be available on this and related areas"
EMPLOYMENT & ECONOMY,BENEFITS,Carer's Allowance Weekly payment,Per week,DWP,JCP,72.70354193,,,"Carer's Allowance (GOV.UK, June 2022)"
EMPLOYMENT & ECONOMY,BENEFITS,Carer's Allowance Cost of processing each new claim for Carer's Allowance,Per claim,DWP,JCP,74.08501316,,,"Transactions Explorer, GOV.UK (2014)  Note that the data file is no longer available; the link takes you to an archived government website where data may be available on this and related areas"
EMPLOYMENT & ECONOMY,BENEFITS,Carer's Allowance Cost of maintaining claims,Per claim,DWP,JCP,37.67034568,,,"Transactions Explorer, GOV.UK (2014)  Note that the data file is no longer available; the link takes you to an archived government website where data may be available on this and related areas"
EMPLOYMENT & ECONOMY,NEETs,Not in Employment Education or Training (NEET) Average cost per 18-24 year old NEET,Per year,DWP,HM Revenue and Customs,5662.374922,11968.53407,,"Youth Unemployment: the crisis we cannot afford (ACEVO Commission on Youth Unemployment, 2012)"
EMPLOYMENT & ECONOMY,NEETs,Not in Employment Education or Training (NEET) Average cost per 18-24 year old NEET- fiscal cost to DWP,Per year,DWP,,4280.367042,,,"Youth Unemployment: the crisis we cannot afford (ACEVO Commission on Youth Unemployment, 2012)"
EMPLOYMENT & ECONOMY,NEETs,Not in Employment Education or Training (NEET) Average cost per 18-24 year old NEET - fiscal cost to HMRC,Per year,HM Revenue and Customs,,1382.00788,,,"Youth Unemployment: the crisis we cannot afford (ACEVO Commission on Youth Unemployment, 2012)"
EMPLOYMENT & ECONOMY,NEETs,Not in Employment Education or Training (NEET) Average cost per 16-17 year old NEET,Per year,DWP,,712.9511295,6086.687255,,"Youth Unemployment: the crisis we cannot afford (ACEVO Commission on Youth Unemployment, 2012)"
EMPLOYMENT & ECONOMY,NEETs,Not in Employment Education or Training (NEET) Average future annual costs per individual related to earlier NEET status - males,Per year,HM Revenue and Customs,DWP,3873.346435,9275.015347,,"Youth Unemployment: the crisis we cannot afford (ACEVO Commission on Youth Unemployment, 2012)"
EMPLOYMENT & ECONOMY,NEETs,Not in Employment Education or Training (NEET) Average future annual costs per individual related to earlier NEET status - males; fiscal cost to HMRC,Per year,HM Revenue and Customs,,3226.489599,,,"Youth Unemployment: the crisis we cannot afford (ACEVO Commission on Youth Unemployment, 2012)"
EMPLOYMENT & ECONOMY,NEETs,Not in Employment Education or Training (NEET) Average future annual costs per individual related to earlier NEET status - males; fiscal cost to DWP,Per year,DWP,,647.2425739,,,"Youth Unemployment: the crisis we cannot afford (ACEVO Commission on Youth Unemployment, 2012)"
EMPLOYMENT & ECONOMY,NEETs,Not in Employment Education or Training (NEET) Average future annual cost per individual related to earlier NEET status - females,Per year,HM Revenue and Customs,DWP,3018.071106,5992.247833,,"Youth Unemployment: the crisis we cannot afford (ACEVO Commission on Youth Unemployment, 2012)"
EMPLOYMENT & ECONOMY,NEETs,Not in Employment Education or Training (NEET) Average future annual costs per individual related to earlier NEET status - females; fiscal cost to HMRC,Per year,HM Revenue and Customs,,2034.437971,,,"Youth Unemployment: the crisis we cannot afford (ACEVO Commission on Youth Unemployment, 2012)"
EMPLOYMENT & ECONOMY,NEETs,Not in Employment Education or Training (NEET) Average future annual costs per individual related to earlier NEET status - females; fiscal cost to DWP,Per year,DWP,,983.9922706,,,"Youth Unemployment: the crisis we cannot afford (ACEVO Commission on Youth Unemployment, 2012)"
EMPLOYMENT & ECONOMY,NEETs,"Not in Employment Education or Training Lifetime fiscal costs, including welfare payments (less pensions); and lost contributions £ (NI, direct taxes)",Lifetime,DWP,HM Revenue and Customs,85770.94717,,,"Coles et al 2010: Estimating the life-time cost of NEET: 16-18 year olds not in Education, Employment or Training p37 tab 3.7"
EMPLOYMENT & ECONOMY,EMPLOYERS,"Sickness absence - economic (direct) cost to employers, sick pay, per day",Per day,,,,99.98662605,,"Absence Management: Annual Survey Report 2016 (Chartered Institute of Personnel and Development, 2016), p.7 and 12"
EMPLOYMENT & ECONOMY,EMPLOYERS,"Sickness absence - economic (indirect) cost to employers, productivity losses, per day",Per day,,,,142.5142183,,"Health at work – an independent review of sickness absence (Black, C. et al, 2011), p.15 and 19"
EMPLOYMENT & ECONOMY,EMPLOYERS,"Staff turnover - annual cost to employers of losing an employee earning more than £25,000 per annum",Per year,,,,38003.50589,,"The Cost of Brain Drain: Understanding the financial impact of staff turnover (Oxford Economics, 2014)"
EMPLOYMENT & ECONOMY,LABOUR COSTS,"Troubled Families Programme - Troubled Families Employment Adviser (TFEA), Executive Officer (EO) grade - average staffing cost (national average)",Per FTE,DWP,JCP,39144.51187,,,DWP estimate (unpublished)
EDUCATION & SKILLS,TRUANCY,"Persistent truancy - total fiscal cost of persistent truancy (missing at least five weeks of school per year), per individual per effective year",Per person per year,Multiple,,2258.822476,1260.39001,,"Misspent Youth (New Philanthropy Capital, 2007)"
EDUCATION & SKILLS,TRUANCY,"Persistent truancy (missing at least five weeks of school per year) - provision of alternative education, per individual per effective year (see comments)",Per person per year,Local Authority,,1056.811576,,,"Misspent Youth (New Philanthropy Capital, 2007)"
EDUCATION & SKILLS,TRUANCY,"Persistent truancy (missing at least five weeks of school per year) - health, per individual per effective year (see comments)",Per person per year,NHS,,77.83881297,,,"Misspent Youth (New Philanthropy Capital, 2007)"
EDUCATION & SKILLS,TRUANCY,"Persistent truancy (missing at least five weeks of school per year) - crime, per individual per effective year (see comments)",Per person per year,Criminal Justice System,Police,633.9372557,,,"Misspent Youth (New Philanthropy Capital, 2007)"
EDUCATION & SKILLS,TRUANCY,"Persistent truancy (missing at least five weeks of school per year) - Social Services, per individual per effective year (see comments)",Per person per year,Local Authority,,490.7337985,,,"Misspent Youth (New Philanthropy Capital, 2007)"
EDUCATION & SKILLS,EXCLUSION,"Permanent exclusion from school - fiscal and economic cost of permanent exclusion from school, per individual per effective year",Per person per year,Multiple,,13799.9234,791.860232,,"Misspent Youth (New Philanthropy Capital, 2007)"
EDUCATION & SKILLS,EXCLUSION,"Permanent exclusion from school - fiscal cost of alternative educational provision (e.g. in a pupil referral unit), per individual per effective year (see comments)",Per person per year,Local Authority,,10749.24069,,,"Misspent Youth (New Philanthropy Capital, 2007)"
EDUCATION & SKILLS,EXCLUSION,"Permanent exclusion from school - health fiscal cost, per individual per effective year (see comments)",Per person per year,NHS,,95.33383464,,,"Misspent Youth (New Philanthropy Capital, 2007)"
EDUCATION & SKILLS,EXCLUSION,"Permanent exclusion from school - crime fiscal cost, per individual per effective year (see comments)",Per person per year,Criminal Justice System,Police,1452.648136,,,"Misspent Youth (New Philanthropy Capital, 2007)"
EDUCATION & SKILLS,EXCLUSION,"Permanent exclusion from school - social services fiscal cost, per individual per effective year (see comments)",Per person per year,Local Authority,,1502.1394,,,"Misspent Youth (New Philanthropy Capital, 2007)"
EDUCATION & SKILLS,PROGRAMMES,"School-based emotional learning programme - cost of delivery, per child per year",Per child per year,Schools,Department for Education,178.5054348,,,"Mental Health Promotion and Mental Illness Prevention: the economic case (Knapp et al, 2011), p.9"
EDUCATION & SKILLS,PROGRAMMES,"Total fiscal and economic savings from the delivery of school-based emotional learning programmes, per child over a 10 year period",Per child over a ten year period,Criminal Justice System,Prison,4335.518364,9409.400117,,"Mental Health Promotion and Mental Illness Prevention: the economic case (Knapp et al, 2011), p.9-10"
EDUCATION & SKILLS,PROGRAMMES,"Fiscal savings to the criminal justice system from the delivery of school-based emotional learning programmes, per child over a 10 year period",Per child over a ten year period,Criminal Justice System,Prison,2500.428401,,,"Mental Health Promotion and Mental Illness Prevention: the economic case (Knapp et al, 2011), p.9-10"
EDUCATION & SKILLS,PROGRAMMES,"Fiscal savings to the NHS from the delivery of school-based emotional learning programmes, per child over a 10 year period",Per child over a ten year period,NHS,Primary Care Trust / Clinical Commissioning Group,1552.456357,,,"Mental Health Promotion and Mental Illness Prevention: the economic case (Knapp et al, 2011), p.9-10"
EDUCATION & SKILLS,PROGRAMMES,"Fiscal savings to the education sector from the delivery of school-based emotional learning programmes, per child over a 10 year period",Per child over a ten year period,Department for Education,Schools,251.5303854,,,"Mental Health Promotion and Mental Illness Prevention: the economic case (Knapp et al, 2011), p.9-10"
EDUCATION & SKILLS,PROGRAMMES,"Fiscal savings to social services from the delivery of school-based emotional learning programmes, per child over a 10 year period",Per child over a ten year period,Local Authority,Social Services,31.1032197,,,"Mental Health Promotion and Mental Illness Prevention: the economic case (Knapp et al, 2011), p.9-10"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal lifetime benefit of a one-grade improvement in GCSE results (average),Lifetime,HM Treasury,,,9739.557811,,"GCSE attainment and lifetime earnings (Department for Education, 2021)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal lifetime benefit of a one-grade improvement in GCSE results (males),Lifetime,HM Treasury,,,10499.07504,,"GCSE attainment and lifetime earnings (Department for Education, 2021)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal lifetime benefit of a one-grade improvement in GCSE results (females),Lifetime,HM Treasury,,,8932.2865,,"GCSE attainment and lifetime earnings (Department for Education, 2021)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,NVQ Level 2 Qualification - annual fiscal and economic benefits,Per person per year,HM Treasury,,110.0019746,589.248788,,"Returns to Intermediate and Low Level Vocational Qualifications (BIS, 2011), p.9 to 10"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,City & Guilds Level 2 Qualification - annual fiscal and economic benefits,Per person per year,HM Treasury,,852.3822902,1408.377761,,"Returns to Intermediate and Low Level Vocational Qualifications (BIS, 2011), p.9 to 10"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,BTEC Level 2 Qualification - annual fiscal and economic benefits,Per person per year,HM Treasury,,656.6865161,1167.856514,,"Returns to Intermediate and Low Level Vocational Qualifications (BIS, 2011), p.9 to 10"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal Lifetime Benefit of Achieving a Level 2 Apprenticeship compared to anything less for males,Lifetime,HM Treasury,,,178535.9303,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal Lifetime Benefit of Achieving a Level 2 Apprenticeship compared to anything less for females,Lifetime,HM Treasury,,,86627.79793,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Apprenticeship - Retail (Level 2)  Trainee product/benefit (per annum),Per person per year,,,,15688.91525,,"Net Benefits of Training Study 2011 (IER, 2011), p.67, quoted in Employer Investment in Apprenticeships and Workplace Learning: The Fifth Net Benefits of Training to Employers Study (BIS Research Paper Number 67, 2012)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Apprenticeship - Hospitality (Level 2)  Trainee product/benefit (per annum),Per person per year,,,,12540.49114,,"Net Benefits of Training Study 2011 (IER, 2011), p.82, quoted in Employer Investment in Apprenticeships and Workplace Learning: The Fifth Net Benefits of Training to Employers Study (BIS Research Paper Number 67, 2012)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Apprenticeship - Transport & Logistics (Level 2)  Trainee product/benefit (per annum),Per person per year,,,,17133.43936,,"Net Benefits of Training Study 2011 (IER, 2011), p.98, quoted in Employer Investment in Apprenticeships and Workplace Learning: The Fifth Net Benefits of Training to Employers Study (BIS Research Paper Number 67, 2012)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Apprenticeship - Financial Services (Level 2)  Trainee product/benefit (per annum),Per person per year,,,,18387.7545,,"Net Benefits of Training Study 2011 (IER, 2011), p.112, quoted in Employer Investment in Apprenticeships and Workplace Learning: The Fifth Net Benefits of Training to Employers Study (BIS Research Paper Number 67, 2012)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Apprenticeship - Business Admin (Level 2)  Trainee product/benefit (per annum),Per person per year,,,,11592.10652,,"Net Benefits of Training Study 2011 (IER, 2011), p.128, quoted in Employer Investment in Apprenticeships and Workplace Learning: The Fifth Net Benefits of Training to Employers Study (BIS Research Paper Number 67, 2012)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Apprenticeship - Social Care (Level 2)  Trainee product/benefit (per annum),Per person per year,,,,16215.6478,,"Net Benefits of Training Study 2011 (IER, 2011), p.146, quoted in Employer Investment in Apprenticeships and Workplace Learning: The Fifth Net Benefits of Training to Employers Study (BIS Research Paper Number 67, 2012)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,NVQ Level 3 Qualification - annual fiscal and economic benefits,Per person per year,HM Treasury,,682.1585574,1225.052221,,"Returns to Intermediate and Low Level Vocational Qualifications (BIS, 2011), p.9 to 10"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,City & Guilds Level 3 Qualification - annual fiscal and economic benefits,Per person per year,HM Treasury,,986.0938803,1838.276651,,"Returns to Intermediate and Low Level Vocational Qualifications (BIS, 2011), p.9 to 10"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,BTEC Level 3 Qualification - annual fiscal and economic benefits,Per person per year,HM Treasury,,908.1813571,1493.27348,,"Returns to Intermediate and Low Level Vocational Qualifications (BIS, 2011), p.9 to 10"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal Lifetime Benefit of Achieving a Level 3 Apprenticeship compared to level 2 qualifications for males,Lifetime,HM Treasury,,,225419.2891,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal Lifetime Benefit of Achieving a Level 3 Apprenticeship compared to level 2 qualifications for females,Lifetime,HM Treasury,,,100799.0288,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Apprenticeship - Engineering (Level 3)  Trainee product/benefit (per annum),Per person per year,,,,23375.75214,,"Net Benefits of Training Study 2011 (IER, 2011), p.39, quoted in Employer Investment in Apprenticeships and Workplace Learning: The Fifth Net Benefits of Training to Employers Study (BIS Research Paper Number 67, 2012)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Apprenticeship - Construction (Level 3)  Trainee product/benefit (per annum),Per person per year,,,,27070.8608,,"Net Benefits of Training Study 2011 (IER, 2011), p.54, quoted in Employer Investment in Apprenticeships and Workplace Learning: The Fifth Net Benefits of Training to Employers Study (BIS Research Paper Number 67, 2012)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Apprenticeship - Financial Services (Level 3)  Trainee product/benefit (per annum),Per person per year,,,,25168.77103,,"Net Benefits of Training Study 2011 (IER, 2011), p.112, quoted in Employer Investment in Apprenticeships and Workplace Learning: The Fifth Net Benefits of Training to Employers Study (BIS Research Paper Number 67, 2012)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Graduate Level 4+ Qualification - lifetime fiscal and economic benefits - males,Lifetime,HM Treasury,,115050.3508,135968.5964,,"The impact of undergraduate degrees on lifetime earnings (DfE/IFS, 2020)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Graduate Level 4+ Qualification - lifetime fiscal and economic benefits - females,Lifetime,HM Treasury,,31377.36841,104591.228,,"The impact of undergraduate degrees on lifetime earnings (DfE/IFS, 2020)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal Lifetime Benefit of Achieving 5+ good GCSEs including English and maths compared to anything less for males,Lifetime,Multiple,,,132221.5786,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Average Lifetime Benefit of Achieving 5+ good GCSEs including English and maths compared to anything less for males,Lifetime,Multiple,,,80829.83399,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal Lifetime Benefit of Achieving 1-2 good GCSEs for males,Lifetime,Multiple,,,219618.7563,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal Lifetime Benefit of Achieving 3-4 good GCSEs for males,Lifetime,Multiple,,,75837.21418,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal Lifetime Benefit of Achieving 5-7 good GCSEs for males,Lifetime,Multiple,,,93762.86431,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal Lifetime Benefit of Achieving 8+ good GCSEs for males,Lifetime,Multiple,,,3736.437106,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Average Lifetime Benefit of Achieving 3-4 good GCSEs for males,Lifetime,Multiple,,,50153.54406,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Average Lifetime Benefit of Achieving 5-7 good GCSEs for males,Lifetime,Multiple,,,77851.21671,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Average Lifetime Benefit of Achieving 8+ good GCSEs for males,Lifetime,Multiple,,,117765.202,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal Lifetime Benefit of Achieving 5+ good GCSEs including English and maths compared to anything less for females,Lifetime,Multiple,,,135489.195,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Average Lifetime Benefit of Achieving 5+ good GCSEs including English and maths compared to anything less for females,Lifetime,Multiple,,,69984.0193,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal Lifetime Benefit of Achieving 1-2 good GCSEs for females,Lifetime,Multiple,,,141795.7973,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal Lifetime Benefit Achieving 3-4 good GCSEs for females,Lifetime,Multiple,,,65577.10431,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal Lifetime Benefit Achieving 5-7 good GCSEs for females,Lifetime,Multiple,,,71228.64204,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal Lifetime Benefit Achieving 8+ good GCSEs for females,Lifetime,Multiple,,,41862.48132,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Average Lifetime Benefit of Achieving 3-4 good GCSEs for females,Lifetime,Multiple,,,36519.20928,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Average Lifetime Benefit of Achieving 5-7 good GCSEs for females,Lifetime,Multiple,,,75806.38761,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Average Lifetime Benefit of Achieving 8+ good GCSEs for females,Lifetime,Multiple,,,46428.66692,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal Lifetime Benefit of Achieving 2+ A Levels for males,Lifetime,Multiple,,,115625.3243,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Average Lifetime Benefit of Achieving 2+ A Levels for males,Lifetime,Multiple,,,74462.86296,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Marginal Lifetime Benefit Achieving 2+ A Levels for females,Lifetime,Multiple,,,97744.62954,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,QUALIFICATIONS/ SKILLS,Average Lifetime Benefit of Achieving 2+ A Levels for females,Lifetime,Multiple,,,55207.81701,,"The Economic Value of Key Qualifications (DfE, 2014)"
EDUCATION & SKILLS,CHILDREN,Total weekly cost of a Children's Centre,Per centre per week,Local Authority,,13264.41595,,,"Evaluation of Children's Centres in England (DfE, 2012), p.39"
EDUCATION & SKILLS,CHILDREN,Average cost of a Children's Centre per user hour,Per user hour,Local Authority,,15.41328473,,,"Evaluation of Children's Centres in England (DfE, 2012), p.39"
EDUCATION & SKILLS,LIBRARIES,Cost of Library Provision - per visit,Per visit,Local Authority,,5.291894423,,,"The Economic Value of Libraries (ERS, 2014), p.45"
EDUCATION & SKILLS,LIBRARIES,Annual cost of library provision - per user,Per user,Local Authority,,92.05584303,,,"The Economic Value of Libraries (ERS, 2014), p.47"
EDUCATION & SKILLS,LIBRARIES,Annual cost of library provision - per active borrower,Per active user,Local Authority,,132.0661613,,,"The Economic Value of Libraries (ERS, 2014), p.48"
EDUCATION & SKILLS,TEACHERS,State-funded school teacher - annual cost (including salary and on-costs) - across all settings and roles,Per year,Local Authority,,55781.26676,,,"Schools Workforce Census (DfE, 2017), Table 9e - uplifted using Eurostat"
CRIME,ANTI-SOCIAL BEHAVIOUR,Anti-social behaviour  further action necessary  (cost of dealing with incident),Per incident,Police,Local authority,813.68955,,,"The Economic and Social Costs of Anti-Social Behaviour: a review' (London School of Economics and Political Science, 2003), p.43"
CRIME,ANTI-SOCIAL BEHAVIOUR,Anti-social behaviour no further action taken  (simple police reporting of incident),Per incident,Police,,56.9582685,,,"The Economic and Social Costs of Anti-Social Behaviour: a review' (London School of Economics and Political Science, 2003), p.43"
CRIME,ANTI-SOCIAL BEHAVIOUR,Anti-social behaviour warning letter delivered,Per action,Local Authority,Housing Services,95.94967124,,,National Audit Office (2006) Tackling Anti-Social Behaviour p24 Fig13
CRIME,ANTI-SOCIAL BEHAVIOUR,Acceptable Behaviour Contract issued,Each,Criminal Justice System,Probation,334.3700664,,,National Audit Office (2006) Tackling Anti-Social Behaviour p24 Fig13
CRIME,ANTI-SOCIAL BEHAVIOUR,Neighbourhood dispute: Local Authority mediation - average costs,Per action,Local Authority,,166.6371389,,,Scottish Executive (2003): The role of mediation in tackling neighbourhood disputes and anti-social behaviour
CRIME,ANTI-SOCIAL BEHAVIOUR,Neighbourhood dispute: Local Authority mediation - Verbal abuse,Per action,Local Authority,,312.6430131,,,Scottish Executive (2003): The role of mediation in tackling neighbourhood disputes and anti-social behaviour
CRIME,ANTI-SOCIAL BEHAVIOUR,Neighbourhood dispute: Local Authority mediation - Noise (including element of verbal abuse),Per action,Local Authority,,169.8111797,,,Scottish Executive (2003): The role of mediation in tackling neighbourhood disputes and anti-social behaviour
CRIME,ANTI-SOCIAL BEHAVIOUR,Neighbourhood dispute: Local Authority mediation - Common boundary dispute,Per action,Local Authority,,165.0501186,,,Scottish Executive (2003): The role of mediation in tackling neighbourhood disputes and anti-social behaviour
CRIME,ANTI-SOCIAL BEHAVIOUR,Neighbourhood dispute: Local Authority mediation - Noise & Loud music related to parties,Per action,Local Authority,,73.00293706,,,Scottish Executive (2003): The role of mediation in tackling neighbourhood disputes and anti-social behaviour
CRIME,DOMESTIC VIOLENCE,"Domestic violence - average cost per incident (fiscal, economic and social values) ",Per incident,Multiple,,3392.701021,2023.258544,9333.361715,"Sylvia Walby - The Cost of Domestic violence, update (2009), p.8"
